"beerGraphs$Brewery[i]","beerGraphs$Location[i]","lon","lat"
"Collaboration: Lervig Aktiebryggeri / Voss Bryggeri","",NA,NA
"O'Conner Brewing","",NA,NA
"Tyne Bank Brewery","Newcastle, Tyne and Wear, GB",-1.6845788,54.9540053
"Elixir Brew Co","West Lothian,                   GB",-3.5517167,55.9070198
"Zajecarsko","",NA,NA
"Jack Pine Brewery","Baxter, MN, US",-94.2686378,46.3483626
"First Magnitude Brewing Company","",NA,NA
"Darwin Brewing Company","",NA,NA
"Casa Bruja","",-5.8587331,39.7007843
"Rebellion Brewery","AU",NA,NA
"Snowbank Brewing","",NA,NA
"Skagway Brewing Co.","Skagway, AK, US",-135.3138889,59.4583333
"Devil's Trumpet Brewery","Merrillville, IN, US",-87.3328139,41.4828144
"Collaboration: Terrapin/Thornbridge","",NA,NA
"South Austin Brewing Co.","Austin, TX, US",-97.7430608,30.267153
"Angry Minnow Brewing Co.","Hayward, WI, US",-91.4846208,46.0130065
"Mountain Toad Brewing","Golden, CO, US",-105.2210997,39.755543
"Krug-Bräu","Waischenfeld, Bayern, DE",11.3469137,49.8477842
"Croocked Moon Brewing","København V, Hovedstaden, DK",12.5606474,55.6713789
"Yuzberg","",NA,NA
"Stadtbrauerei Spalt","DE",10.9247144,49.1741482
"Gibb's Hundred Brewing Company","",NA,NA
"Offbeat Brewery","Crewe, Cheshire, GB",-2.4438209,53.100405
"Passarola Brewing","",NA,NA
"Ardent","",1.164244,46.123624
"Ezo Beer K.K.","",NA,NA
"TwoDeep Brewing Co.","Indianapolis, IN, US",-86.158068,39.768403
"AleBrowar/Nøgne Ø","",NA,NA
"Sunshine Brewery","",152.8222076,-26.3259824
"De Bierderie","Zaandam, Noord-Holland, NL",4.8291992,52.4420399
"House of Nicholas","",0.6957241,51.5814009
"De Christian drouin","",NA,NA
"Golden Draak 10.5 The Brewmasters Edition","",NA,NA
"Butcherknife Brewing Company","Steamboat Springs, CO, US",-106.8317158,40.4849769
"Bebidas Primordiales","",NA,NA
"Theakstons","Ripon, North Yorkshire, GB",-1.5237756,54.1361346
"The Mussel Inn","",-4.103437,50.331184
"Melbourne City Brewing Company","",-80.6081089,28.0836269
"The Dancing Camel Brewing Co., Ltd.","Tel Aviv,                   IL",34.7817676,32.0852999
"Parkway Brewing","",-68.763421,44.7794068
"Mordue Brewery","Wallsend, Tyne and Wear, GB",-1.529375,54.991512
"U Medvídků","",14.0409805,49.6332303
"Laughing Sun Brewing","Bismarck, ND, US",-100.7837392,46.8083268
"Collaboration: Lervig Aktiebryggeri / Magic Rock Brewing","",NA,NA
"Moustache Brewing Co.","",NA,NA
"Miami Brewing","",-82.9746835,39.9687631
"Mack & Jacks","",-84.6693469,39.1544527
"Black Forest Brew Haus","Farmingdale, NY, US",-73.4454009,40.7325997
"O/O Brewing","",-121.4513062,38.8234191
"Uncle Leo's Brewery","CA",NA,NA
"Mercenary","",-79.0255931,34.4830399
"U Fleků Flekovský Tmavý Ležák 13°","",NA,NA
"Only Child Brewing","Deerfield, IL, US",-87.8445119,42.1711365
"Stone","",-93.4599326,36.7748882
"Uncle Billy's Brew & Que","Austin, TX, US",NA,NA
"Barley Island Brewing Company","Noblesville, IN, US",-86.0085955,40.0455917
"Detroit Brewing Co.","Detroit, MI, US",-83.0457538,42.331427
"Únêticky Pivovar","",NA,NA
"Treintaycinco","Escazú, San José, CR",-84.1293902,9.9499138
"High & Mighty Beer Co.","Holyoke, MA, US",-72.7002039,40.847542
"Brasserie Nationale d’Haiti","",NA,NA
"Zakkoku Koubou Microbrewery","比企郡小川町, 埼玉県, JP",139.2618452,36.0566972
"Cheboygan Brewing Company","",-84.4744795,45.6469563
"Adnams","",0.1913538,51.5435794
"Beer Academy","Toronto, ON, CA",-79.3831843,43.653226
"Darmstädter Privatbrauerei","Darmstadt, Hessen, DE",8.6511929,49.8728253
"Foggy Noggin Brewing","Woodinville, WA, US",-122.1634582,47.7542651
"Steam Plant Brewing Co","Spokane, WA, US",-117.4260466,47.6587802
"Free Lions","Morrisville, VT, US",-72.5984486,44.5617189
"Guns And Oil","",NA,NA
"Hausbrauerei Feierling","Freiburg im Breisgau, Baden-Württemberg, DE",7.8421043,47.9990077
"Berkshire Mountain Brewers","Great Barrington, MA, US",-73.362008,42.1959798
"Boggart Hole Clough","",-2.2038583,53.5203051
"The Jaden James Brewery","Grand Rapids, MI, US",-85.6680863,42.9633599
"Cervejaria Dortmund","Serra Negra, SP, BR",-46.7037152,-22.6144285
"Arooga's Liquid Assets","",NA,NA
"Sutliff Cidery","Lisbon, IA, US",-91.3854466,41.9211198
"Human Fish Brewery","SI",NA,NA
"Great Newsome Brewery","Patrington, England, GB",-0.011797,53.6837624
"Santa Monica Brew Works","",-118.4911912,34.0194543
"Cervejaria Nacional","São Paulo, SP, BR",-46.6333094,-23.5505199
"Lacons","",-86.9700966,34.3482457
"Canterbury Brewers","Canterbury, Kent, GB",1.0235582,51.3525051
"Square One Brewery","Saint Louis, MO, US",-90.1994042,38.6270025
"Obergärige Hausbrauerei Zum Schlüssel","Düsseldorf,                   DE",6.7734556,51.2277411
"Modern Brewery","",74.8231144,32.7409924
"Wingman Brewers","Tacoma, WA, US",-122.4442906,47.2528768
"River City Brewing Co. (Kansas)","Wichita, KS, US",-97.330053,37.6871761
"HopCat","Grand Rapids, MI, US",-85.6680863,42.9633599
"Mommeriete","Gramsbergen, Overijssel, NL",6.674114,52.6112646
"Boscos Restaurant & Brewing Co.","Memphis, TN, US",-4.3176179,55.8704938
"Yule Shoot Your Eye Out 2013","",NA,NA
"SUN InBev Ukraine (ABInBev)","",NA,NA
"Pedernales Brewing Company","",NA,NA
"Charleville Brewing Co.","Ste Genevieve, MO, US",-90.0475582,37.9786618
"Mobcraft Brewery","",NA,NA
"Persha Pryvatna Brovarnya","",NA,NA
"Paradise Creek Brewery","Pullman, WA, US",-117.1817377,46.7297771
"Down East Alers","",NA,NA
"Best of the best brewery","",NA,NA
"Microbrasserie Le Trèfle Noir","Rouyn-Noranda, QC, CA",-79.0187836,48.2342362
"Belize Brewing Company","",NA,NA
"Barley and Hops Grill & Microbrewery","Frederick, MD, US",NA,NA
"Brauerei im Füchschen","Düsseldorf,                   DE",6.7734556,51.2277411
"Califa","",-77.0030837,-12.0302668
"Big Ass Braggot","",NA,NA
"Black Country Ales","",4.083352,44.127204
"Birrificio Grado Plato","Chieri, TO, IT",7.8275551,45.008885
"Young Master Ales 少爺麥啤","",NA,NA
"Main Street Brewing Company","Vancouver, BC, CA",-123.1207375,49.2827291
"L'Anjub","",NA,NA
"32 North Brewing Co.","",-104.7583271,38.3377776
"Blue Canoe Brewery","Titusville, PA, US",-79.6736631,41.6270036
"Rusty Truck Brewing","Lincoln City, OR, US",-124.0178914,44.9581644
"Great Rhythm Brewing Company","",NA,NA
"Giesinger Bräu","München, Bayern, DE",11.6117539,48.1375349
"Groundswell Brewing Company","",NA,NA
"N17","",2.7924972,50.3699278
"Brauerei Schanzenbräu","Nürnberg, Bayern, DE",11.07675,49.45203
"Big Sky Brewing Company","Missoula, MT, US",-113.996586,46.8787176
"Merridale Ciderworks","Cobble Hill, BC, CA",-123.6030889,48.6883499
"Asher Brewing Company","Boulder, CO, US",-105.2705456,40.0149856
"Wind River Brewing Company","Pinedale, WY, US",-109.8633501,42.8678809
"Budèjovicky Méstansky Pivovar","",NA,NA
"Wensky Beer","",NA,NA
"Nieuwhuys","Hoegaarden, Vlaams Gewest, BE",4.89273,50.77433
"Griffin Cider Works","Westlake, OH, US",-81.9179173,41.4553232
"Pair O' Dice Brewing","",NA,NA
"Ohana Brewing Company","Los Angeles, CA, US",-118.2436849,34.0522342
"Service Brewing Company","",NA,NA
"Green's","",145.2017778,-38.013001
"Privatbrauerei Bosch","DE",NA,NA
"Fair State Brewing Cooperative","",NA,NA
"Dacay - Cerveza Artesanal","",NA,NA
"Beoir Chorca Dhuibhne (West Kerry Brewery)","",NA,NA
"Birreria Eataly (New York)","New York, NY, US",-73.9712488,40.7830603
"Ringside Brewing Company","",NA,NA
"350 Brewing","",-82.9769254,39.9266748
"Bluetongue Brewery (Pacific Beverages)","Warnervale, NSW, AU",151.4496048,-33.2473451
"Natural Selection Brewing Co.","Edinburgh, Scotland, GB",-3.188267,55.953252
"Chatty Monks Brewing Company","",NA,NA
"Pryes Brewing","",-78.5492444,35.7601995
"Wiper And True Brewery","",NA,NA
"Orion Breweries, Ltd.","",NA,NA
"Butautu Dvaro Alus","",NA,NA
"Virgin Islands","",-64.896335,18.335765
"Ilkley Brewery Co.","Ilkley, West Yorkshire, GB",-1.822817,53.925486
"I Cavalieri","",-101.665219,21.1102661
"Denison's Brewing Co.","Etobicoke, Ontario, CA",-79.5131983,43.6204946
"Detroit Beer Company","Detroit, MI, US",-83.0457538,42.331427
"Claim 52","Eugene, OR, US",-123.1053705,43.9969144
"Half Door Brewing Company","",NA,NA
"Brewery Vivant","",NA,NA
"C.H. Evans Brewing Company","Albany, NY, US",-73.7562317,42.6525793
"Mazama Brewing","",NA,NA
"Foohills","",-114.3965364,32.634217
"Full Pint Brewing Company","North Versailles, PA, US",-79.8094916,40.3797913
"Cigar City/de Proefbrouwerij","",NA,NA
"Skookum Brewery","Smokey Point, WA, US",-122.2041811,48.1413989
"North Cotswold","",-80.7907103,35.18487
"Wicklow Wolf","",-84.232996,39.781973
"Windward & Leeward Brewery (Heineken)","",-81.186222,31.9746547
"Sternquell Brauerei Plauen","Plauen,                   DE",13.7090684,51.0266014
"White Stork Beer Co.","",NA,NA
"Living The Dream Brewing","",NA,NA
"Vagabond Brewing","",NA,NA
"Coopers Brewery Limited - Homebrews","",NA,NA
"William's Orchards","",-112.1987794,35.6066604
"Armstrong Ales","",-79.3535197,40.9694867
"MAZURT Brewing Company","",NA,NA
"Gollems Proeflokaal","Amsterdam, Noord-Holland, NL",4.8951679,52.3702157
"Flipside Brewery","Netherfield, Nottingham, GB",-1.1581086,52.9547832
"Blue Bee Brewery","Sheffield, South Yorkshire, GB",-1.470085,53.381129
"Brewery Lobkowicz","",NA,NA
"Morgantown Brewing Company","Morgantown, WV, US",-79.9558968,39.629526
"Omnipollo","",NA,NA
"Microbrasserie des Beaux Prés","La Côte-de-Beaupré, QC, CA",-71.2740404,47.4123275
"Ten Fifty-Five Brewing","Tucson, AZ, US",-110.926479,32.2217429
"Lake Louie Brewing","Arena, WI, US",-89.9129013,43.165548
"Brauerei Meister","DE",NA,NA
"Crystal Lake Brewing","",-88.3161965,42.2411344
"Brauerei Hacklberg","Passau, BY, DE",13.4378977,48.579634
"Helsinge Ångbryggeri","SANDARNE, HÄLSINGLAND, SE",12.196873,56.020813
"Treboom Brewery","York, North Yorkshire, GB",-1.0872979,53.9599651
"Balmain Brewing Company","",NA,NA
"Bishop Cider Company","",NA,NA
"Collaboration: Deep River / Trophy","",NA,NA
"Kure Beer","",33.7102689,41.805978
"Hunter Gatherer Brewery and Alehouse","Columbia, SC, US",-81.0348144,34.0007104
"Brodie's/Mikkeller","",NA,NA
"BrewDog Punk Pale Ale","",NA,NA
"Arundel","Ford, West Sussex, GB",-0.6171631,50.8530672
"Macon Beer Company","Macon, GA, US",-83.6324022,32.8406946
"Yeovil Ales","",4.083352,44.127204
"Rebellion Brewing","",NA,NA
"Happy Place Brewing Co.","",NA,NA
"HogsBack Brewing Company","Ottawa, ON, CA",-75.6971931,45.4215296
"Brouwerij Kees","",NA,NA
"Third Base Brewery","Cedar Rapids, IA, US",-91.6656232,41.9778795
"Rouge","",26.9169264,57.7297816
"Beaver Street Brewery","Flagstaff, AZ, US",-111.651302,35.1982836
"Anchor Steam","",-97.6849738,30.5384121
"LuckyBrews","",NA,NA
"Excelsior Brewing Co.","Excelsior, MN, US",-93.5663455,44.9032963
"Siren De Molen","",NA,NA
"Flying Couch","København N, Hovedstaden, DK",12.547805,55.6928897
"Stanley Park Brewery","Vancouver, BC, CA",-123.1207375,49.2827291
"Sparks Brewing","",-68.7381265,44.7767459
"The Beer Research Institute","",34.8706157,31.3780701
"Cervecería Azteca","",-100.2396605,25.7525683
"Namyslow Brewery","",17.72244,51.07588
"West End Brewing Company","Utica, NY, US",-75.232664,43.100903
"Big Elm","",-97.3450355,31.2561191
"De Blauwe IJsbeer","Schoonhoven, Zuid-Holland, NL",4.8432204,51.9525204
"Isle of Arran Brewery Co.","Isle of Arran, North Ayrshire, GB",-4.75946,55.6416731
"Heart and Beer Nihonkai Club","",NA,NA
"Csupor Házisörfőzde","",NA,NA
"Liberty Brewing & Panhead Custom Ales","",-83.6336672,38.7951152
"3 Daughters Brewing","",NA,NA
"Old Mount Cider","",-85.486825,44.962024
"Amplified Ale Works","San Diego, CA, US",-117.1610838,32.715738
"Valley Vineyards Cellar Dweller Brewery","Morrow, OH, US",-84.1271568,39.3545046
"Fabbrica Della Birra Di Perugia","",12.3908279,43.1107168
"Slaters Ales","",4.083352,44.127204
"Brighton Bier","",-63.1496204,46.2547998
"Thunder Canyon Brewery","Tucson, AZ, US",-110.926479,32.2217429
"Julian Hard Cider","",NA,NA
"Oliver Brewery/ Three Stars Brewing","",NA,NA
"Brauerei Kraus","Hirschaid, Bayern, DE",10.992433,49.8190535
"Septem Microbrewery OE","",NA,NA
"Irmãos Ferraro","",NA,NA
"Brasserie Lacu","",NA,NA
"Sundbytunet","",NA,NA
"Black Barrel","",-84.5008519,34.6535931
"Weird Beard / Northern Monk","",NA,NA
"Mispillion River Brewing","",NA,NA
"Únětický Pivovar","",NA,NA
"County Cider Company","",NA,NA
"Noble Ale Works","",NA,NA
"Kaweah Brewing Company","",NA,NA
"Oersoep","Nijmegen, Gelderland, NL",5.8372264,51.8125626
"Standing Stone Brewing Company","Ashland, OR, US",-122.7094767,42.1945758
"Privatbrauerei Loncium","Kötschach-Mauthen, Carinthia, AT",12.9994368,46.6711385
"Jeffrey","",-81.8215096,37.971492
"Burning Brothers Brewing","",NA,NA
"Brouwerij Wilderen","Sint-Truiden, Limburg, BE",5.14136,50.81587
"Black Bird Cider Works","Barker, NY, US",-78.5547512,43.3300567
"Naples Beach Brewery","Naples, FL, US",-81.7948103,26.1420358
"Crow Hop Brewing","",NA,NA
"Cervejaria Noturna","",NA,NA
"Brauerei Königshof","Krefeld, Nordrhein-Westfalen, DE",6.5853417,51.3387609
"Citizen (Boston Breweries)","",NA,NA
"BrewHouse - High Mountain Brewing Co.","Whistler, BC, CA",-122.9573563,50.1163196
"Beer Project Brussels","",4.3517103,50.8503396
"Collaboration: Mikkeller / Anchorage Brewing Company","",NA,NA
"Altitude Brewing","",NA,NA
"Collaboration: Amager / Mikkeller","",NA,NA
"DB's Homebrew","",NA,NA
"Schwarzbier","",NA,NA
"Brew Fist","",NA,NA
"Moody Ales","",4.083352,44.127204
"Astoria Brewing Co.","Astoria, OR, US",-123.8312534,46.1878841
"Hungry Bee","",-79.5763629,40.6099682
"Stem Ciders","",0.7948937,52.1082266
"Two Brothers Brewing Company & Brasserie Castelain","",NA,NA
"Trouble Brewing","Allenwood, PA, US",-76.8982974,41.1075825
"UAB Kalnapilio-Tauru Grupe","",NA,NA
"Northern Monk / Blackjack","",NA,NA
"Hand Drawn Monkey","GB",-3.435973,55.378051
"Anaheim Brewery","Anaheim, CA, US",-117.9145036,33.8352932
"Ales Agullons","",4.083352,44.127204
"Thunderhead Brewing Company","Kearney, NE, US",-99.0816784,40.6993303
"Ghost Brewing","",NA,NA
"Crooked Ladder Brewing Company","",NA,NA
"Ångström Brewery","",NA,NA
"JK Brewery","",NA,NA
"Obolon","Санкт-Петербург, Санкт-Петербург, RU",30.3350986,59.9342802
"Lünen Bier","",7.5285074,51.6104829
"Agrofirma Tervete","",NA,NA
"Shipyard Emporium (Florida)","Winter Park, FL, US",-81.3392352,28.5999998
"Outer Banks Brewing Station","Kill Devil Hills, NC, US",-75.6760101,36.0307226
"Red Truck Beer Company","North Vancouver, BC, CA",-123.0732801,49.3269904
"Foolproof Brewing Company","",NA,NA
"Collaboration Cigar City / DeProefBrouwerij","",NA,NA
"Õllenaut","",NA,NA
"Vanberg & DeWulf","Gent, Oost-Vlaanderen, BE",6.7538464,61.8640384
"Stigbergets Bryggeri","",NA,NA
"Hop Back Brewery","Salisbury, Wiltshire, GB",-1.794472,51.068785
"Collaboration: Evil Twin / Crooked Stave","",NA,NA
"Barnstormer Brewing","",NA,NA
"Main Street Brewery (Lamppost Pizza) (California)","Corona, CA, US",-117.5664384,33.8752935
"Naboen","",-100.4432859,20.7232403
"NXNW  Restaurant and Brewery","Winters, TX, US",-99.962313,31.9565343
"Brasserie Parisis","Brunoy, Île-de-France, FR",2.504543,48.698071
"Brauhaus Hartmannsdorf","Burgstädt, Germany, DE",NA,NA
"Apotekarnes","",NA,NA
"Alpha Acid","",NA,NA
"Pivovar Antoš","",NA,NA
"La Domadora Y El León","",-101.6859605,21.1250077
"Beaver Creek Brewery","Wibaux, MT, US",-104.1864623,46.9904554
"Brickworks Ciderhouse","",NA,NA
"Pipeline Homebrew","",NA,NA
"Malastrana Beer","",NA,NA
"Les Brasseurs du Temps","Gatineau, Quebec, CA",-75.7012723,45.4765446
"Dudak - Mestansky Pivovar Strakonice","",13.9103085,49.2604043
"Rock Cornwall","",-4.9135924,50.5447692
"Brauerei Unertl","DE",NA,NA
"Uberbrew","Billings, MT, US",-108.5006904,45.7832856
"Prescott","",-112.4685025,34.5400242
"Kotayk Brewery","Abovyan,                   AM",44.633383,40.2715286
"Ratpenat Cervesers","",NA,NA
"BS Brewing","",NA,NA
"Midland Brewing Company","Midland, MI, US",-84.2472116,43.6155825
"Privater Brauereigasthof Greifenklau","Bamberg, Bayern, DE",10.9027636,49.8988135
"Buckeye Lake Brewery","Millersport, OH, US",-82.534048,39.9000639
"Sonnet 43","",4.6022588,51.8651454
"Anner","Porto Alegre, RS, BR",-51.2176584,-30.0346471
"Golden Avalanche Brewing Co.","Kutztown, PA, US",-75.7774177,40.5173165
"Brauerei Schlappeseppel","Großostheim, Bayern, DE",9.0753258,49.9225612
"Local 7","",-81.3519671,40.9045214
"Jarrow Brewery","",-1.4402473,54.9948737
"Rhinegeist","",NA,NA
"Grutte Pier Brouwerij","",NA,NA
"Coachella Valley Brewing Company","",NA,NA
"Mad Jack's Brewing","Schenectady, NY, US",-73.9395687,42.8142432
"Springhead Brewery","GB",-3.435973,55.378051
"Bujska Pivovara","",NA,NA
"Brasserie Saint Sylvestre (French Craft Brewers)","Wingles, Nord-Pas-de-Calais, FR",2.852404,50.494578
"Omnipollo/Stillwater","",-92.8088443,45.056004
"Corrézienne","",NA,NA
"Elk Creek Cafe and Aleworks","Millheim, PA, US",-77.4766585,40.8909008
"Farmington Brewing Company","",-108.2186856,36.7280583
"Broadway Brewery","Columbia, MO, US",-92.3340724,38.9517053
"Biergarten Haus","",NA,NA
"Hook Norton Brewery","GB",-1.4923462,51.9966024
"Starr Hill Brewing Company / Terrapin","",NA,NA
"Cervecería Austral S.A.","Patagonia, AZ, US",-110.7561963,31.5395378
"The Chevallier Brewing Co.","",NA,NA
"Station 26","",4.9764541,49.9852336
"Bad Tattoo Brewing Company","",NA,NA
"Bog Iron Brewing","Norton, MA, US",-71.1869963,41.9667703
"Brasserie de l'Abbaye du Val-Dieu","Aubel, Liège, BE",5.8218133,50.7041675
"Weltons Brewery","Horsham, West Sussex, GB",-0.325858,51.062883
"Grüner","",34.8070714,32.1251849
"Governor Brewery","",-89.79434,33.321728
"Brauerei zur Malzmühle Schwartz","Köln, Nordrhein-Westfalen, DE",6.9602786,50.937531
"Ochakovo","",22.2142919,54.6554775
"South Gate Brewing Company","Oakhurst, CA, US",-119.6493154,37.3279997
"Fuller's","",-88.1884352,17.5028395
"San Gabriel","Oderzo, Veneto, IT",12.4954965,45.7808478
"Pivovara Daruvar","",17.2238397,45.5930156
"Atom","",10.016667,1.783333
"Dithmarscher Privatbrauerei","Marne,                   DE",NA,NA
"Rocky Knob","",-81.5986099,38.752123
"Stumblefoot Brewing Co","San Marcos, CA, US",-117.1661449,33.1433723
"Port Jeff Brewing Company","Port Jefferson, NY, US",-73.0692732,40.9464875
"Gold Rush Brewery","",NA,NA
"Ugly Duck Brewing Co","Nørre Aaby, Syddanmark, DK",9.873349,55.472362
"Cerveceria Agua Mala","",NA,NA
"Pike’s Oakbank Beer","",NA,NA
"pivovar Jihlava","",15.5823789,49.3957944
"Skebo Bruksbryggeri","SE",NA,NA
"Shiny Brewing","",NA,NA
"Weldebräu","Schwetzingen, Baden-Württemberg, DE",8.5722445,49.3852193
"Shapiro (שפירה)","IL",NA,NA
"Saltwater Brewery","",NA,NA
"Michelob Brewery","",NA,NA
"Beamish & Crawford Plc.","Cork, Cork, IE",-1.6454086,54.8755707
"Campion Ale","",NA,NA
"3Cariocas","",-46.937513,-23.5549595
"À la Fût","Saint-Tite, QC, CA",-72.5711283,46.7288888
"Mostodolce Birrificio Artigianale","Prato, Italy, IT",NA,NA
"Banks (Barbados) Breweries","Bridgetown, St. Michael, BB",-59.5988089,13.1132219
"Stewart's Brewing Company","New Castle, DE, US",-75.5668166,39.6620397
"Brauerei Brinkhoff (Radeberger Gruppe)","Dortmund, Nordrhein-Westfalen, DE",7.4652981,51.5135872
"Beer Mania","Brussels, Brussels, BE",4.3517103,50.8503396
"Kwencher","",NA,NA
"Dominion City Brewing Co.","",NA,NA
"Dead Armadillo Craft Brewing","",NA,NA
"Craft Brewing Company","Lake Elsinore, CA, US",-117.3272615,33.6680772
"Top of the Hill Restaurant and Brewery","Chapel Hill, NC, US",-79.0558445,35.9131996
"Shades of Pale Brewing Company","Park City, UT, US",-111.4979729,40.6460622
"Beltane Brewing","Novato, CA, US",-122.5697032,38.1074198
"Morgan Street Brewery","Saint Louis, MO, US",-90.1994042,38.6270025
"Perro Libre","",-82.4385653,8.4209484
"Son","",-110.3308814,29.2972247
"Ashton Brewing Company","Ashton, Ontario, CA, CA",-76.031688,45.1573149
"Hastings","East sussex,                   GB",0.573453,50.854259
"Bugnutty Brewing","",NA,NA
"Transient Artisan Ales","",4.083352,44.127204
"Fitzpatrick's Bar","",NA,NA
"Beerd Brewery","",NA,NA
"Braumanufaktur Forsthaus Templin","Potsdam,                   DE",13.0644729,52.3905689
"Tenaya Creek Brewery","Las Vegas, NV, US",-115.1398296,36.1699412
"Brightside Brewing Co","Bury, United Kingdom, GB",-2.2966054,53.5933498
"Crooked River Brewing","",NA,NA
"Cannery Brewing Company","Penticton, BC, CA",-119.5937077,49.4991381
"JJ Bitting Brewing Co.","Woodbridge, NJ, US",-74.2846022,40.5575986
"Amboss","",10.1157794,51.9820725
"Nile Breweries (SABMiller)","",NA,NA
"Zierholz Premium Brewery","Canberra International Airport, ACT, AU",149.1888454,-35.3074601
"Petaluma Hills Brewing Company","Petaluma, CA, US",-122.6366524,38.232417
"Joule's Brewery","GB",-3.435973,55.378051
"Arcobräu Gräfliches Brauhaus","Moos,                   DE",NA,NA
"Stone Arch","",-77.2043349,40.4974063
"DuVig Brewing Co.","",NA,NA
"Four Seasons Brewing","",1.110059,52.3639718
"Revelry Brewing Company","",NA,NA
"Sociables Ale House","",NA,NA
"Hornbeer","DK",NA,NA
"Vine Street Pub & Brewery","",151.7402461,-32.8927858
"Urban Farm Fermentory","Portland, ME, US",-70.2553259,43.661471
"Cervejaria Edelbrau","",NA,NA
